,Country/Region,Province,Date,Type,Reference,Lat,Lng
293,US,Vermont,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,44.5588028,-72.57784149999999
294,US,Virgin Islands,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States_Virgin_Islands,18.335765,-64.896335
295,US,Virginia,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,37.4315734,-78.6568942
296,US,Washington,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,47.7510741,-120.7401385
297,US,West Virginia,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,38.5976262,-80.4549026
298,US,Wisconsin,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,43.7844397,-88.7878678
299,US,Wyoming,,None,,43.0759678,-107.2902839
300,Uzbekistan,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uzbekistan,41.377491,64.585262
301,Vatican City,,3/10/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vatican_City,41.902916,12.453389
302,Venezuela,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela,6.42375,-66.58973
303,Vietnam,,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam,14.058324,108.277199
304,West Bank and Gaza,,3/5/20,Full,,31.9465703,35.3027226
305,Zambia,,,None,,-13.133897,27.849332
306,Zimbabwe,,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Zimbabwe,-19.015438,29.154857
